Cowan Station,208120,151.1717177,-33.59310763,10101132,02 9847 8496,"Pacific Hwy, Cowan",2003|2004|2006|2007|2008,3001|3004|3009|3011|3016,1001
Cringila Station,250520,150.8784228,-34.46717554,10101375,02 4223 5694,"Five Islands Rd, Cringila",2002|2003|2004|2006|2008,3008|3010|3011,1001|1002
Cronulla Station,223020,151.1515424,-34.05625171,10101351,02 9522 1245,"Cronulla St, Cronulla",2002|2003|2004|2005|2006|2015|2007|2008|2009|2010|2011|2013,3001|3006|3009|3011,1001|1002|1003|1005
Croydon Station,213210,151.1154882,-33.88323425,10101208,02 9752 8529,"Meta St, Croydon",2004|2005|2006|2007|2008|2011|2013,3003|3008|3009|3010|3011,1001
Dapto Station,253020,150.7923283,-34.49209044,10101425,02 4223 5544,"Station St, Dapto",2001|2002|2003|2004|2005|2006|2015|2007|2008|2009|2011,3003|3004|3009|3010|3011,1001|1002|1005
Denistone Station,211410,151.0875503,-33.79990618,10101200,02 9752 8461,"West Pde, Denistone",2003|2004|2006|2007|2008,3008|3009|3010|3011,1001
Domestic Airport Station,202020,151.1807857,-33.93365963,10101331,02 8337 8450,"Keith Smith Ave, Domestic Airport, Mascot",2004|2005|2006|2015|2007|2008|2009|2010|2011|2013,3001|3002|3003|3005|3006|3008|3009|3011,1001|1002|1005
Doonside Station,276710,150.8683521,-33.76398502,10101246,02 9851 7218,"Doonside Cr, Doonside",2002|2003|2004|2005|2006|2007|2008|2013,3003|3008|3009|3010|3011,1001|1002|1005
Dora Creek Station,226420,151.5011621,-33.08318747,10101149,02 4349 9241,"Wamsley St, Dora Creek",2003|2004|2007,3008|3010|3011|3017,1001|1002
Douglas Park Station,256910,150.7099378,-34.18322665,10101300,02 4677 1402,"Camden Rd, Douglas Park",2003|2004|2006,3004|3010|3011|3015,1001
Dulwich Hill Station,220310,151.1409894,-33.91110223,10101393,02 9563 7595,"Wardell Rd, Dulwich Hill",2003|2004|2005|2006|2015|2007|2008|2009|2010,3008|3010|3011,1001|1002|1004
Dundas Station,211720,151.0331967,-33.80389397,10101224,02 9637 1520,"Station St, Dundas",2003|2004|2005|2006|2007|2009,3001|3003|3004|3009|3011,1001|1002
